size;time;mode
2;0.0001;Sequential
4;0.001;Sequential
8;0.004;Sequential
16;0.045;Sequential
32;0.268;Sequential
64;2.257;Sequential
128;18.668;Sequential
256;108.15;Sequential
512;2247.537;Sequential
1024;21922.137;Sequential
2;2.669;Threads
4;2.306;Threads
8;2.746;Threads
16;2.822;Threads
32;2.862;Threads
64;4.331;Threads
128;12.075;Threads
256;79.229;Threads
512;923.333;Threads
1024;4589.809;Threads
2;0.001;Streams
4;0.009;Streams
8;0.018;Streams
16;0.043;Streams
32;0.112;Streams
64;0.687;Streams
128;5.216;Streams
256;44.199;Streams
512;279.287;Streams
1024;4177.08;Streams
